name	cluster
<<<<df:Holmes-kdp:request-<<<<df:Roundhay-kdp:say-<<<<df:Detective-kdp:focus-df:window>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/296">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/295">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/294">>	0
<<<<df:Holmes-kdp:buy-df:Reproduction_of_lamp>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/298">>	0
<<<<sl:Criminal-kdp:erase-sl:Taste_of_opium>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/356">>	0
<<<<df:Mortimer-kdp:say-<<<<df:George-kdp:similar-df:monkey>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/138">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/107">>	0
<<<<df:Mortimer-kdp:hear-df:Running_noise_of_four-wheeled_carriage>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/142">>	0
<<<<df:Watson-kdp:hear-df:Running_noise_of_four-wheeled_carriage>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/142">>	0
<<<<df:Holmes-kdp:hear-df:Running_noise_of_four-wheeled_carriage>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DevilsFoot/142">>	0
<<<<sl:John_Straker-kdp:notHave-sl:children>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/028">>	0
<<<<sl:John_Straker-kdp:hire-sl:Edith_Baxter>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/029">>	0
<<<<sl:Wife_of_John_Straker-kdp:hire-sl:Edith_Baxter>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/029">>	0
<<<<cm:Henry-kdp:scare-cm:Watson>>-rdf:value-"http://kgc.knowledge-graph.jp/data/CrookedMan/249">>	0
<<<<rp:Helper_boy-kdp:try-rp:319a>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/319">>	0
<<<<dm:Elsie-kdp:shoot-dm:Cubitt>>-rdf:value-"http://kgc.knowledge-graph.jp/data/DancingMen/078">>	0
<<<<rp:Blessington-kdp:manage-rp:Money>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ResidentPatient/184">>	0
<<<<ci:Holmes-kdp:say-<<<<ci:Windibank-kdp:wear-ci:whiskers>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/499">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/472">>	0
<<<<ci:Windibank-kdp:notThink-<<<<ci:Windibank-kdp:rob-ci:heart_of_Sutherland>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/509">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/508">>	0
<<<<sl:Fitzroy_Simpson-kdp:propose-sl:Lucrative_story>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/061">>	0
<<<<sl:Edith_Baxter-kdp:say-<<<<sl:Fitzroy_Simpson-kdp:propose-sl:Lucrative_story>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/061">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/069">>	0
<<<<sl:Fitzroy_Simpson-kdp:chase-sl:Edith_Baxter>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/070">>	0
<<<<sl:John_Straker-kdp:have-sl:pencil_case>>-rdf:value-"http://kgc.knowledge-graph.jp/data/SilverBlaze/220">>	0
<<<<ci:Holmes-kdp:notice-<<<<owl:Nothing-kdp:have-ci:Violet_ink>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/352">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/348">>	0
<<<<ci:Holmes-kdp:notice-<<<<owl:Nothing-kdp:have-ci:finger_of_Sutherland>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/352">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/348">>	0
<<<<ci:Holmes-kdp:notice-<<<<ci:Sutherland-kdp:come-ci:Holmes>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/349">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/348">>	0
<<<<ci:Holmes-kdp:notice-<<<<ci:Sutherland-kdp:write-ci:Note>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/350">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/348">>	0
<<<<ci:Holmes-kdp:notice-<<<<owl:Nothing-kdp:have-ci:gloves_of_Sutherland>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/351">>>>-rdf:value-"http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/348">>	0
